country,director,genre,id_imdb,name,year
Кинематограф СССР,"Малюков, Андрей Игоревич",Фильм-катастрофа,0081967,34-й скорый,
Соединённые Штаты Америки,,Драма (жанр),2006295,33 (фильм),2015
Канада,"Вильнёв, Дени",Драматический фильм,0156248,32-е августа на Земле,1998
Россия,"Муратов, Александр Александрович (режиссёр)",Кинокомедия,0417390,32 декабря (фильм),2004
Мексика,Ригоберто Кастаньеда (страница отсутствует),Ужасы,0460485,31-й километр,2006
Кинематограф СССР,"Квинихидзе, Леонид Александрович",Музыкальный фильм,0077114,31 июня (фильм),1978
Соединённые Штаты Америки,Роб Зомби,Фильм ужасов,3835080,31 (фильм),2016
Соединённые Штаты Америки,,Порнофильм,1499909,30 Rock: A XXX Parody,
Россия,"Игуменцева, Таисия Юрьевна",Комедия,5437194,30 свиданий,2016
Соединённые Штаты Америки,Крэйг Мосс (страница отсутствует),Кинокомедия,2417650,30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,2012
Соединённые Штаты Америки,Бен Кетай (страница отсутствует),Триллер,1320304,30 дней ночи: Тёмные времена,2010
Соединённые Штаты Америки,"Слейд, Дэвид",Фильм о вампирах,0389722,30 дней ночи,
